Time, PC 1, PC 2, NPJ regime
2006-03-26T00:00:00.000000000,-0.4517361661776399,-0.5245026612599549,origin
2006-03-27T00:00:00.000000000,-0.5072488879549277,-0.6260289555178404,origin
2006-03-28T00:00:00.000000000,-0.4848560244088314,-0.010223493409503898,origin
2006-03-29T00:00:00.000000000,-0.5852617436566089,0.41551688841648177,origin
2006-03-30T00:00:00.000000000,-0.44820396428181514,0.48584284786234594,origin
2006-03-31T00:00:00.000000000,-0.29285895007892054,0.889353256204246,origin
2006-04-01T00:00:00.000000000,-0.19572840266889774,0.471636004451723,origin
2006-04-02T00:00:00.000000000,-0.4994044589132629,-0.20842975474697953,origin
2006-04-03T00:00:00.000000000,-0.32555116194772704,-0.3585451004117688,origin
2006-04-04T00:00:00.000000000,-0.2423732015642808,-0.4158458209556179,origin
2006-04-05T00:00:00.000000000,0.02689819717658054,-0.3912313675433408,origin
2006-04-06T00:00:00.000000000,-0.13537403819180813,0.06082646120395967,origin
2006-04-07T00:00:00.000000000,-0.3498104033413691,0.3178294730160873,origin
2006-04-08T00:00:00.000000000,-0.47281061855778217,0.560017816586431,origin
2006-04-09T00:00:00.000000000,-0.7990843639098631,0.9147312133656849,poleward shift
2006-04-10T00:00:00.000000000,-0.8404662862137884,0.7314866798782301,retraction
2006-04-11T00:00:00.000000000,-1.1699940762423668,-0.629212832610381,retraction
2006-04-12T00:00:00.000000000,-2.2356099200329105,-0.6229785307093068,retraction
2006-04-13T00:00:00.000000000,-2.479391213614881,0.004679112460221465,retraction
2006-04-14T00:00:00.000000000,-1.8981597786221485,-0.06715410428824134,retraction
2006-04-15T00:00:00.000000000,-1.4879278199572532,-0.06566659534201102,retraction
2006-04-16T00:00:00.000000000,-1.4868370518730416,-0.02551118035443644,retraction
2006-04-17T00:00:00.000000000,-1.3350407902976065,0.3756015711942941,retraction
2006-04-18T00:00:00.000000000,-1.4940121308779242,0.29138619558593476,retraction
2006-04-19T00:00:00.000000000,-1.5174522768752134,0.19164401933971217,retraction
2006-04-20T00:00:00.000000000,-0.9162852245981484,0.4532829202413483,retraction
2006-04-21T00:00:00.000000000,-0.5279369993220824,0.4634907387647079,origin
2006-04-22T00:00:00.000000000,-0.3601604038263067,0.43994815312296615,origin
2006-04-23T00:00:00.000000000,-0.17884501156566607,0.4220567609714435,origin
2006-04-24T00:00:00.000000000,-0.236645889741346,0.4523129512271277,origin
2006-04-25T00:00:00.000000000,-0.27701856647595574,0.26400733961318285,origin
2006-04-26T00:00:00.000000000,-0.06425099285901129,0.13056946740267,origin
2006-04-27T00:00:00.000000000,0.2425468944889172,0.3259029973903099,origin
2006-04-28T00:00:00.000000000,0.22932866625826212,0.43245616908313755,origin
2006-04-29T00:00:00.000000000,0.030375223048978967,0.3047682018105998,origin
2006-04-30T00:00:00.000000000,-0.10754216321424455,0.8883256039269489,origin
2006-05-01T00:00:00.000000000,0.16843482253830414,1.1482335356801288,poleward shift
2006-05-02T00:00:00.000000000,0.480531161094099,0.7070571803338236,origin
2006-05-03T00:00:00.000000000,0.1906025564765761,0.46236061537733536,origin
2006-05-04T00:00:00.000000000,-0.33365834832661295,1.1124150145630973,poleward shift
2006-05-05T00:00:00.000000000,-0.6386347397226905,1.7375569648571936,poleward shift
2006-05-06T00:00:00.000000000,-0.651704452821813,1.9424253746309244,poleward shift
2006-05-07T00:00:00.000000000,-0.46683960146710507,1.8921265549320505,poleward shift
2006-05-08T00:00:00.000000000,-0.34189267328997774,1.4474999795641998,poleward shift
2006-05-09T00:00:00.000000000,-0.4448242006057187,0.8835946842447343,origin
2006-05-10T00:00:00.000000000,-0.6603107244585639,0.5453231667997648,origin
2006-05-11T00:00:00.000000000,-1.1216981799926853,0.13445119640888764,retraction
2006-05-12T00:00:00.000000000,-1.3357182183818463,-0.5124600856024943,retraction
2006-05-13T00:00:00.000000000,-1.5745777196468635,-0.9117148383924389,retraction
2006-05-14T00:00:00.000000000,-1.9378783543256821,-0.655376861557106,retraction
2006-05-15T00:00:00.000000000,-1.8859146460011411,-1.2155840103722,retraction
2006-05-16T00:00:00.000000000,-1.5301381053502696,-0.9300554658925959,retraction
2006-05-17T00:00:00.000000000,-1.119609278773453,-0.14724449563782963,retraction
2006-05-18T00:00:00.000000000,-0.7646559378584875,-0.481217810059278,origin
2006-05-19T00:00:00.000000000,-1.065957055840631,-0.9174906869584045,retraction
2006-05-20T00:00:00.000000000,-1.7271036129617356,-0.6937928716976355,retraction
2006-05-21T00:00:00.000000000,-1.2439426325025507,-0.3615472948896249,retraction
2006-05-22T00:00:00.000000000,0.10062137054453606,-1.0376096527016283,equatorward shift
2006-05-23T00:00:00.000000000,0.49063090545930005,-1.3038521967297156,equatorward shift
2006-05-24T00:00:00.000000000,0.25638178242820897,-1.221142784334846,equatorward shift
2006-05-25T00:00:00.000000000,0.11012525251876368,-1.2630322170487063,equatorward shift
2006-05-26T00:00:00.000000000,0.2725019132995329,-1.696788817363936,equatorward shift
2006-05-27T00:00:00.000000000,0.7311387531788958,-1.9083476630834268,equatorward shift
2006-05-28T00:00:00.000000000,0.6998948959999107,-1.8658193932229388,equatorward shift
2006-05-29T00:00:00.000000000,0.6870153872319417,-1.7247948490504221,equatorward shift
2006-05-30T00:00:00.000000000,0.6320272698935129,-1.4018275474457607,equatorward shift
2006-05-31T00:00:00.000000000,0.6409310234144443,-1.155236182927034,equatorward shift
2006-09-01T00:00:00.000000000,0.42585948319102845,-0.4557685009800059,origin
2006-09-02T00:00:00.000000000,0.31108387105666274,-0.5607476496336423,origin
2006-09-03T00:00:00.000000000,0.17831768882032556,-0.7459337617415008,origin
2006-09-04T00:00:00.000000000,0.0833000688900946,-0.5433940485168566,origin
2006-09-05T00:00:00.000000000,0.06629746490209561,-0.3597033700371162,origin
2006-09-06T00:00:00.000000000,-0.22563890503474007,-0.9234209827179317,origin
2006-09-07T00:00:00.000000000,-0.5773195372536077,-0.9560117696071525,equatorward shift
2006-09-08T00:00:00.000000000,-0.7033740832247725,-0.23691590980312485,origin
2006-09-09T00:00:00.000000000,-0.28635135017469243,0.3513864697931047,origin
2006-09-10T00:00:00.000000000,0.3516533900670536,0.015509492425250987,origin
2006-09-11T00:00:00.000000000,0.680985758443338,-0.6544728796629928,origin
2006-09-12T00:00:00.000000000,0.3630036693634732,-0.736005281951418,origin
